Label,Spectral Centroid Mean,Spectral Bandwidth Mean,RMS Mean,Zero-Crossing Rate Mean,Spectral Contrast Mean,Pitch Mean,Pitch Confidence Mean,Mel Spectrogram Mean,Mel Spectrogram Variance,Energy Mean
Angry,2242.027698,2664.320773,0.042656645,0.053075611,19.4240118,1375.677002,0.064664386,0.585550904,47.54230118,0.042656645
Angry,2113.47124,2166.574628,0.077715389,0.057015535,21.67427109,1663.623657,0.115130775,2.101467609,390.2535095,0.077715389
Angry,2269.646871,2058.726826,0.08272928,0.063355334,21.72085698,1775.970581,0.115196183,1.953562498,369.0504761,0.08272928
Angry,2205.428229,2568.804672,0.078023568,0.053249596,20.23699659,1233.608032,0.10709808,2.365867376,670.1813965,0.078023568
Angry,1788.345705,1932.42199,0.087319791,0.049506106,20.93303577,1336.043945,0.121406183,2.522402525,593.3547363,0.087319791
Angry,1847.959313,2245.938947,0.067732364,0.044216954,21.25415202,1172.861084,0.091019519,1.639015675,239.5628052,0.067732364
Angry,2118.603037,2246.771953,0.056264043,0.060746677,20.46848747,1386.410278,0.075630538,1.085469961,139.106842,0.056264043
Angry,1951.25275,2060.224645,0.083072074,0.055435075,20.46664779,1506.374023,0.123441823,2.268051624,571.9619751,0.083072074
Angry,2409.675399,2252.312284,0.123101324,0.071511315,21.75755488,1739.861694,0.18174471,3.911864281,1052.143066,0.123101324
Angry,2221.795205,2070.056441,0.078405373,0.066063892,21.03387289,1773.590942,0.125348732,1.903906822,275.6130066,0.078405373
Angry,2409.31278,2111.271503,0.084832981,0.076059626,21.07120738,1818.974976,0.126213536,2.447179079,633.5045776,0.084832981
Angry,2611.757127,2034.368602,0.090085678,0.089469962,20.21339031,1964.890747,0.162702382,1.900736332,287.7388306,0.090085678
Angry,2292.952146,1775.318442,0.081648678,0.082774335,20.53568724,1888.43103,0.160905138,1.444487929,110.4263077,0.081648678
Angry,2203.83995,1995.635905,0.068699934,0.071201509,19.56551224,1722.928101,0.128846034,1.301419258,93.13756561,0.068699934
Angry,1778.544656,1767.467676,0.062654532,0.05432157,20.14172819,1697.532593,0.085096121,1.637471914,296.0105896,0.062654532
Angry,2157.744197,2007.949304,0.104975201,0.069029499,21.8622577,1790.242188,0.169809788,2.58994031,362.6000061,0.104975201
Angry,1690.471966,1910.342488,0.07976307,0.044821974,20.81119041,1494.179932,0.111729033,1.892727017,475.0851746,0.07976307
Angry,2556.773219,2221.558191,0.110375062,0.076427802,21.28369865,1859.63208,0.1719632,3.898065329,1293.858765,0.110375062
Angry,4924.239733,2931.932849,0.085295998,0.188246453,21.51187344,2294.920898,0.104819678,0.825777769,52.62381363,0.085295998
Angry,2806.361748,2894.95563,0.069750927,0.072302667,19.79395201,1450.055298,0.105160974,2.330276728,542.8203735,0.069750927
Angry,1706.253309,1700.602822,0.163008943,0.049314161,23.62326711,1600.132935,0.184459567,4.885490417,828.90271,0.163008943
Angry,1798.463079,2066.017781,0.079625823,0.045341685,20.13162713,1442.464111,0.09391202,1.503800035,102.3162537,0.079625823
Angry,2661.69045,2610.377468,0.089078732,0.077048536,19.43743842,1703.007935,0.152536497,2.456693649,514.6324463,0.089078732
Angry,2544.565069,2388.528717,0.126638845,0.077977954,20.24655939,1725.453979,0.23539184,3.526613951,477.717865,0.126638845
Angry,2125.630776,1715.582017,0.126752585,0.071771731,21.11080515,1701.538208,0.191547871,4.617504597,1897.931763,0.126752585
Angry,2330.722727,2003.828953,0.108450316,0.073693427,21.56977965,1772.563232,0.183581442,2.67281127,442.706604,0.108450316
Angry,2063.094717,2146.367618,0.134916648,0.050461342,22.70443189,1258.918091,0.164217666,4.535827637,1654.025879,0.134916648
Angry,2465.117658,2390.925942,0.096512824,0.066621767,20.36516038,1639.839722,0.170155019,2.374214172,352.8332214,0.096512824
Angry,2780.362267,2529.818849,0.138221949,0.073674344,21.67929038,1646.008423,0.181076571,4.131290913,1119.285767,0.138221949
Angry,2035.315061,2119.065536,0.104580618,0.051651176,21.50481254,1348.286011,0.130387872,3.177764416,896.2814941,0.104580618
Angry,2215.660851,2202.233069,0.118160203,0.057571166,21.64999429,1496.686646,0.175207913,3.254911423,640.1046143,0.118160203
Angry,2469.166758,2396.698591,0.135817125,0.06539938,21.58649048,1597.972534,0.180298984,4.323444366,1208.16748,0.135817125
Angry,2360.766791,2434.649419,0.138440967,0.054184626,21.26109127,1468.406006,0.134779945,5.604125023,3484.729004,0.138440967
Angry,2158.94119,2387.17713,0.121564806,0.045925377,21.86899981,1235.579346,0.131868407,3.630448818,1120.875977,0.121564806
Angry,2355.362503,2254.621632,0.098410986,0.064115257,21.126974,1573.942993,0.134370878,2.383163214,371.1517334,0.098410986
Angry,2224.518727,2159.867977,0.116608299,0.058150368,22.08710823,1496.10376,0.135945931,3.272989273,772.4906006,0.116608299
Angry,2515.049056,2231.54563,0.112546951,0.075326643,20.99949085,1739.827026,0.138967529,3.260304928,974.206665,0.112546951
Angry,2102.056031,2282.456607,0.123311043,0.055411503,22.27783257,1366.689087,0.162031963,4.496880054,1455.865479,0.123311043
Angry,1928.798236,2020.426718,0.121962793,0.052041801,22.65589525,1419.628906,0.166140467,4.034618378,1004.737366,0.121962793
Angry,2486.082282,2642.572874,0.087420687,0.070719962,19.8103245,1620.851196,0.165902033,2.049761295,174.6784973,0.087420687
Angry,2711.530549,2896.697443,0.100692831,0.068787042,20.38041149,1500.909424,0.158659637,3.099234819,1095.559814,0.100692831
Angry,2602.443615,2607.783949,0.098059818,0.073648527,20.48254054,1545.679565,0.157256067,2.684796095,466.1853333,0.098059818
Angry,2806.765124,2472.719476,0.086102553,0.089674255,20.59918361,1797.005859,0.144909725,1.84792912,201.495224,0.086102553
Angry,2864.658424,2766.778106,0.074611597,0.088767286,19.73176555,1685.816284,0.129357368,1.973953009,355.4466553,0.074611597
Angry,2562.561085,2735.869654,0.078333683,0.069460533,20.12374308,1521.359741,0.137739569,1.706576109,167.0750885,0.078333683
Angry,2516.10382,2845.368716,0.087420098,0.061260776,19.40120109,1371.632324,0.144882232,2.443555355,355.5883179,0.087420098
Angry,2202.350345,2339.243568,0.180569321,0.059113461,22.25115276,1535.719849,0.264408141,7.890257359,2799.369629,0.180569321
Angry,2492.820547,2478.383528,0.149590343,0.066584725,21.90330056,1714.313721,0.253386885,4.448990822,892.282959,0.149590343
Angry,3409.049002,2764.212997,0.156069458,0.105317214,21.98544964,2105.45874,0.284186602,4.131219387,515.5054321,0.156069458
Angry,2841.713633,2542.399033,0.144681156,0.088331762,21.89247522,1728.031738,0.241842687,4.526667595,820.1381226,0.144681156
Angry,2494.582712,2476.857229,0.109780759,0.071127425,22.52880231,1641.853516,0.129837483,3.427809,1040.133667,0.109780759
Angry,2155.133321,2181.488984,0.08203128,0.06189498,21.53791701,1737.445679,0.145561233,1.381595254,81.47185516,0.08203128
Angry,1931.897077,2236.393729,0.115155905,0.050343481,21.59837167,1428.619751,0.160978988,3.770755291,710.9526367,0.115155905
Angry,2320.62774,2308.458436,0.069052629,0.063965966,21.38899829,1483.828247,0.113883428,1.648630023,215.7196045,0.069052629
Angry,2243.679078,2718.002862,0.067132063,0.056544091,21.46517828,1409.282349,0.091242008,1.531816959,142.4661102,0.067132063
Angry,2702.947366,3410.267273,0.040288918,0.059257139,20.1909781,1135.353394,0.050297625,0.865305483,92.9198761,0.040288918
Angry,1778.586475,1780.417046,0.121101744,0.046769486,23.73240688,1291.6698,0.146352202,4.125600338,1150.987305,0.121101744
Angry,2684.276397,2475.752638,0.077042505,0.077085578,21.80464983,1570.098999,0.100177556,2.130497217,337.6392517,0.077042505
Angry,2229.643069,2164.054579,0.09983582,0.060759025,22.30041706,1125.006958,0.120159984,2.808817387,474.3088379,0.09983582
Angry,2119.801503,2090.246787,0.107074246,0.058154858,22.58285281,954.9450073,0.134592384,3.005521059,540.9688721,0.107074246
Angry,2383.35689,2187.107029,0.107481882,0.066721668,22.18312562,1198.019043,0.137406632,3.543553591,803.3258667,0.107481882
Angry,2196.394646,2151.965315,0.130708605,0.066838407,22.42210369,1144.6427,0.167434663,4.490269184,1002.543091,0.130708605
Angry,1993.173109,2209.238209,0.097487405,0.049318651,22.01610703,1119.329102,0.146549955,2.691082239,324.9571838,0.097487405
Angry,2474.224568,2352.106924,0.129756898,0.068017017,22.60159652,1580.248413,0.161339551,4.534418106,1956.312744,0.129756898
Angry,2493.303204,2273.143997,0.096508473,0.069922997,22.04858065,1746.373169,0.124712661,2.529359818,576.9436646,0.096508473
Angry,1287.771347,993.2201433,0.248514071,0.044990347,21.12635647,1348.130981,0.346357465,15.52399921,11771.81348,0.248514071
Angry,1372.907495,1011.252795,0.292700499,0.049613865,21.30034157,1492.423706,0.475244522,17.6711483,11765.92969,0.292700499
Angry,1304.024134,1837.664728,0.098270409,0.023303924,21.56127704,993.5744019,0.09252128,3.34792161,1566.567871,0.098270409
Angry,1286.551525,1725.390248,0.093049228,0.02654005,21.79837508,1224.270752,0.08588779,3.114430428,2628.474365,0.093049228
Angry,1371.316404,1759.760665,0.07246621,0.028735632,21.60534911,1280.095703,0.071462736,2.19245553,1391.254272,0.07246621
Angry,1554.589818,1774.135234,0.087101988,0.037630208,22.84760573,1316.412598,0.093783371,2.777846813,1641.932617,0.087101988
Angry,2536.448578,3167.421881,0.092239328,0.050144801,21.30443676,1044.015259,0.057416208,1.767575622,204.164856,0.092239328
Angry,2004.555614,2048.834408,0.088856697,0.05195088,23.7081656,1610.002197,0.114216268,2.408236504,643.3824463,0.088856697
Angry,2413.062381,2853.608482,0.11543484,0.047807786,19.44682951,1570.90332,0.096322082,3.362405777,1303.464966,0.11543484
Angry,3296.827994,2914.952421,0.060007934,0.105887437,20.52376324,1748.158936,0.074639998,2.228461742,867.8091431,0.060007934
Angry,3427.904903,3109.000195,0.058577623,0.113944639,20.39651781,1704.437744,0.072749116,1.978369832,748.5441284,0.058577623
Angry,2834.954127,2294.508697,0.084984228,0.091616155,24.03135649,1782.94165,0.094230101,2.552333117,1273.638184,0.084984228
Angry,2141.770057,1897.367752,0.0868719,0.069678296,24.24123964,1662.605225,0.111920081,2.424911261,712.2346802,0.0868719
Angry,2607.464769,2221.41113,0.086238235,0.083117816,22.80758507,1764.378418,0.110221885,2.65267849,831.2775879,0.086238235
Angry,1935.701142,1835.716315,0.116557144,0.052637841,22.46507373,1471.775757,0.153058052,4.439457893,2257.180664,0.116557144
Angry,3057.13197,2580.347196,0.042428419,0.102876931,21.66540705,1882.803833,0.054959025,0.926500499,252.6159058,0.042428419
Angry,2637.261397,2180.504535,0.11256323,0.085521058,22.34452741,1733.927002,0.144798338,4.252654552,1875.173096,0.11256323
Angry,2751.891787,2289.586996,0.083645016,0.085600754,22.75546336,1804.058594,0.121921495,2.08582902,524.1636353,0.083645016
Angry,2370.735,2131.249534,0.112456053,0.07497306,22.7868414,1732.105713,0.142741829,4.58800602,3519.431152,0.112456053
Angry,2791.64805,2242.820357,0.114090748,0.094769217,22.44218959,1705.306274,0.148170412,4.353472233,1788.641235,0.114090748
Angry,1527.715698,1489.855945,0.109815411,0.045222701,22.78649583,1423.149414,0.132711262,3.109851599,764.3637085,0.109815411
Angry,1591.140531,1685.525595,0.048640966,0.048734959,21.07930418,1344.549438,0.06533511,0.792065024,65.40060425,0.048640966
Angry,1931.808192,1891.939213,0.062920094,0.058043732,21.69634218,1632.875488,0.087800577,1.161664605,112.5578003,0.062920094
Angry,1859.769026,2270.332029,0.049472254,0.044632274,20.85235609,1535.835083,0.067613631,1.121609688,233.1942291,0.049472254
Angry,1866.247864,2148.870151,0.043170437,0.048740571,21.332274,1531.121704,0.060414188,0.716221929,53.61988068,0.043170437
Angry,1654.846827,1616.568479,0.100808911,0.051291981,22.33089098,1442.187622,0.118705913,2.889153719,640.1677246,0.100808911
Angry,3789.022601,3491.920376,0.049276419,0.113945761,21.98496471,1684.811035,0.074802339,1.259597063,284.8735046,0.049276419
Angry,3216.722492,3115.758286,0.046214286,0.095007184,21.71631594,1540.58606,0.06677258,0.994776845,160.5444031,0.046214286
Angry,3080.571822,2830.321962,0.055277895,0.091842897,22.53912838,1712.70166,0.072328396,1.064589143,336.5905457,0.055277895
Angry,3255.140332,3010.031284,0.059605863,0.099976428,22.15510391,1684.860962,0.084347174,1.417572975,252.8177032,0.059605863
Angry,3273.267531,3147.223046,0.039766882,0.090493669,22.27505251,1630.963989,0.056309327,0.78940928,831.899231,0.039766882
Angry,3330.202094,2929.713918,0.0765239,0.096738057,22.46287034,1722.205444,0.106404811,1.936830521,415.7804871,0.0765239
Angry,3027.612659,3031.035469,0.066596277,0.081974003,22.58870349,1666.041626,0.09145803,1.777288914,418.0822449,0.066596277
Angry,2780.762966,2915.637108,0.087403104,0.065766433,24.07773929,1471.177856,0.106122471,2.578768015,869.6886597,0.087403104
Angry,3715.414439,3319.678391,0.049978271,0.117378323,21.52989006,1708.97168,0.071297653,1.163207531,241.3097687,0.049978271
Angry,3297.733795,3052.745,0.054129805,0.097283585,22.60061991,1613.131592,0.072574176,1.280254245,178.521637,0.054129805
Angry,3713.172575,3257.55759,0.046501379,0.111150772,21.90039773,1789.550903,0.062816516,0.834874928,89.44789124,0.046501379
Angry,3506.826241,3028.090385,0.070422798,0.10744208,21.40012809,1581.845215,0.087901816,1.717000723,340.4147949,0.070422798
